barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
6936041,A203,Future use of ANZUS Military machinery,A7942,Defence Committee Papers,1957 - 1958,1957,1958,Closed,Withheld pending adv,2014-10-13 00:00:00
6936082,P137 PART 1,Persian Gulf conflict,A7942,Defence Committee Papers,1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-07-20 00:00:00
6936094,S173 PART 1,Project 'IKARA',A7942,Defence Committee Papers,1961 - 1966,1961,1966,Closed,Withheld pending adv,2016-12-08 00:00:00
6936107,T81,Military implications of Thai planning assumptions (possible insurgency situation in Laos),A7942,Defence Committee Papers,1961 - 1962,1961,1962,Closed,33(2)(a) | 33(2)(b) | Withheld pending adv,2016-08-24 00:00:00
6936576,S203446,DJUJIC Momcilo,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1965 - 1976,1965,1976,Closed,Withheld pending adv,2016-12-07 00:00:00
6936593,S203605,SARIC Ante,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1973 - 1982,1973,1982,Closed,Withheld pending adv,2016-09-22 00:00:00
6936625,S203750,RAIS Hishamuddin - Part 4,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1983,1978,1983,Closed,Withheld pending adv,2016-05-11 00:00:00
6945946,S250758,Black September - terrorist activity - Part 2,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1973 - 1973,1973,1973,Closed,33(1)(a) | 33(1)(g) | Withheld pending adv,2015-04-13 00:00:00
6945959,S250773,Security screening British migrants - Policy - Part 2,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1970 - 1978,1970,1978,Closed,Withheld pending adv,2011-07-06 00:00:00
6945999,S251028,Admission of Soviet Shipping Representatives (SOVFRACHT) approach by James Patrick and Company Pty Limited - Part 2,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1975 - 1980,1975,1980,Closed,Withheld pending adv,2014-03-12 00:00:00
6946294,S201896,VILLEGAS Claudio,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1966 - 1983,1966,1983,Closed,Withheld pending adv,2011-01-10 00:00:00
6946404,S203049,MOURAVIEFF Alexander Alexandrovich,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1958 - 1974,1958,1974,Closed,Withheld pending adv,2011-01-18 00:00:00
6946501,S203512,BOSNJAK Marjan,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1973 - 1983,1973,1983,Closed,Withheld pending adv,2017-03-07 00:00:00
6946536,S250051,Black September terrorist activity - Part 1,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1973 - 1974,1973,1974,Closed,Withheld pending adv,2015-07-24 00:00:00
6957233,D71,Strategic importance of New Guinea,A7942,Defence Committee Papers,1956 - 1966,1956,1966,Closed,Withheld pending adv,2014-10-13 00:00:00
6957259,N65,Defence of Nauru,A7942,Defence Committee Papers,1951 - 1967,1951,1967,Closed,Withheld pending adv,2016-08-24 00:00:00
6957271,S143 PART 2,Submarine detection,A7942,Defence Committee Papers,1965 - 1968,1965,1968,Closed,Withheld pending adv,2016-02-18 00:00:00
6957284,Z54,Bacteriological warfare,A7942,Defence Committee Papers,1942 - 1942,1942,1942,Closed,Withheld pending adv,2016-05-31 00:00:00
6957404,S200350,BRENNER Joachim,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1961 - 1962,1961,1962,Closed,Withheld pending adv,2017-09-07 00:00:00
6957568,S202966,SALLMAN Daniel Elias,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1951 - 1965,1951,1965,Closed,Withheld pending adv,2017-07-13 00:00:00
6957569,S202968,DOMASCHENZ Wanda,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1966 - 1972,1966,1972,Closed,Withheld pending adv,2012-04-16 00:00:00
6957626,S203425,MANDEL Dr Ernest Esra - part 2,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1972 - 1975,1972,1975,Closed,Withheld pending adv,2013-08-29 00:00:00
6967067,S202747,"MANDEL, Dr Ernest Esra - part 1",A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1970 - 1970,1970,1970,Closed,Withheld pending adv,2013-09-13 00:00:00
6977121,1964/2533,South East Asia - status of Forces Agreement,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1961 - 1967,1961,1967,Closed,Withheld pending adv,2017-11-03 00:00:00
6977932,I95 PART 3,Defence implications for Australia of a Soviet Naval presence in the Indian Ocean,A7942,Defence Committee Papers,1980 - 1980,1980,1980,Closed,Withheld pending adv,2014-05-07 00:00:00
6977951,P119,Plan Addington,A7942,Defence Committee Papers,1964 - 1965,1964,1965,Closed,Withheld pending adv,2015-01-13 00:00:00
6977963,S187,Sea Dart acceptance trials,A7942,Defence Committee Papers,1967 - 1967,1967,1967,Closed,Withheld pending adv,2016-02-18 00:00:00
6987355,S251058,Refugees and Special Programmes Branch - United National High Commission for Refugees - International Consultations on Indo-Chinese Refugees - September 1978,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1978,1978,1978,Closed,Withheld pending adv,2011-01-21 00:00:00
6987364,S251070 PART 4,Review of Policy on Indo-Chinese Refugees 1978-1979,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1979,1978,1979,Closed,Withheld pending adv,2011-01-21 00:00:00
6987472,S251164,Security screening - students - general,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1967 - 1977,1967,1977,Closed,Withheld pending adv,2016-09-22 00:00:00
6987477,S251173,Refugee policy other countries - Vietnam - Part 6,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1979 - 1980,1979,1980,Closed,Withheld pending adv,2017-04-06 00:00:00
6987486,S251183,Refugee policy other countries - Vietnam - Part 7,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1980 - 1980,1980,1980,Closed,Withheld pending adv,2017-04-06 00:00:00
6987489,S251186 PART 4,Refugee Policy other countries - Thailand,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-10-12 00:00:00
6987522,S251297 PART 2,[Title exempt],A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1981 - 1981,1981,1981,Closed,Withheld pending adv,2017-03-27 00:00:00
7007327,B1976/29,Australian Joint Anti-Submarine School Senior Officers Study Period 1976 Report,A2539,"Master set of departmental briefs for, and reports on, international official talks, ministerial visits etc, annual single number series with 'B' [Brief] prefix",1976 - 1976,1976,1976,Closed,Withheld pending adv,2017-03-15 00:00:00
7013733,W26/217/8,Folio [74] - 'Keep Australia White' leaflet,A456,"Correspondence files, multiple number series with 'W' [War] prefix [Main correspondence files series of the agency]",1917 - 1918,1917,1918,Closed,Withheld pending adv,2010-01-15 00:00:00
7037774,B1977/22,Third United Nations Conference on the Law of the Sea Sixth Session - New York 23 May - 15 July 1977 - Confidential report of the Australian Delegation,A2539,"Master set of departmental briefs for, and reports on, international official talks, ministerial visits etc, annual single number series with 'B' [Brief] prefix",1977 - 1977,1977,1977,Closed,Withheld pending adv,2016-07-06 00:00:00
7037776,B1977/25,The South-West Pacific and the Third United Nations Law of the Sea Conference (Joint Intelligence Organisation report),A2539,"Master set of departmental briefs for, and reports on, international official talks, ministerial visits etc, annual single number series with 'B' [Brief] prefix",1977 - 1977,1977,1977,Closed,Withheld pending adv,2016-05-24 00:00:00
7038202,1970/3014 PART 1,Hi-jacking of aircraft - carriage of diplomatic mails,A3211,"Correspondence files, annual single number series",1970 - 1971,1970,1971,Closed,Withheld pending adv,2013-12-18 00:00:00
7061018,5/11/AIR PART 1,Photographs - Acquisition and Interpretation,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1980 - 1985,1980,1985,Closed,Withheld pending adv,2014-03-07 00:00:00
7061042,3101/11/WKS PART 1,Planned Development Works RAAF Darwin,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1973 - 1990,1973,1990,Closed,Withheld pending adv,2016-06-02 00:00:00
7061049,5/16/AIR PART 4,Intelligence Collection,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1985 - 1989,1985,1989,Closed,Withheld pending adv,2016-06-24 00:00:00
7061050,5/16/AIR PART 2,Intelligence Collection,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1983 - 1984,1983,1984,Closed,Withheld pending adv,2016-06-24 00:00:00
7061052,5/16/AIR PART 3,Intelligence Collection,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1984 - 1987,1984,1987,Closed,Withheld pending adv,2016-06-24 00:00:00
7061058,83/AIR PART 1,Air Defence - Policy,E1327,"Correspondence files, multiple number series with activity suffixes and 'BS' (Base Squadron)/(from 1994) 'BW' (Air Base Wing) prefix",1960 - 1987,1960,1987,Closed,Withheld pending adv,2015-02-12 00:00:00
7062201,75S/5/4/AIR PART 1,Intelligence,E1042,"Correspondence files, two number series with some use of alphabetical suffixes",1967 - 1986,1967,1986,Closed,Withheld pending adv,2013-05-30 00:00:00
7117092,S250573,Interdepartmental Committee on East European investment,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1967 - 1970,1967,1970,Closed,Withheld pending adv,2017-01-23 00:00:00
7128774,S250907,Special Interdepartmental Committee on Domestic Violence - Part 3,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1976 - 1976,1976,1976,Closed,Withheld pending adv,2015-03-27 00:00:00
7128783,S250916,Special Interdepartmental Committee on Counter Terrorism Working Group on Travel Intelligence,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1975 - 1982,1975,1982,Closed,Withheld pending adv,2015-02-06 00:00:00
7128921,S250961,Tongan prohibited immigrants in Australia - deportation,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1970 - 1978,1970,1978,Closed,Withheld pending adv,2010-09-23 00:00:00
7128930,S250972,Special Interdepartmental Committee on Domestic Violence - Part 5,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1977 - 1978,1977,1978,Closed,Withheld pending adv,2015-04-01 00:00:00
7128936,S250980,Palestine Liberation Organisation - Part 3,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1977 - 1983,1977,1983,Closed,Withheld pending adv,2009-11-04 00:00:00
7128949,S251002,Indo-Chinese refugees - Intelligence gathering and reporting,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1977 - 1978,1977,1978,Closed,Withheld pending adv,2011-02-04 00:00:00
7128971,S251057,Refugee policy other countries - Malaysia - Part 2,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1979,1978,1979,Closed,Withheld pending adv,2017-04-06 00:00:00
7230630,M1987/4618,"Representations to the Attorney-General by John Spender, Federal Member for North Sydney, regarding prosecution of Justice Lionel Murphy by the Director of Public Prosecutions",A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1984 - 1987,1984,1987,Closed,Withheld pending adv,2016-03-17 00:00:00
7244077,S251091,Review of policy on Indo-Chinese refugees 1978-1979 - Part 5,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1980,1978,1980,Closed,Withheld pending adv,2010-12-01 00:00:00
7244098,S251123,Serbian Cultural Club of Canberra - St Sava,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1978 - 1980,1978,1980,Closed,Withheld pending adv,2017-12-14 00:00:00
7244103,S251128,Refugee policy other countries - Thailand - Part 3,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1979 - 1980,1979,1980,Closed,Withheld pending adv,2017-05-11 00:00:00
